TMDB ID,Title,Release Date,Budget,Revenue,IMDB ID,Rating,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDB Rating,IMDB Votes,DVD Release Date,Production,Day of Release,Month of Release,Year of Release,Revenue (Millions)
110681,Kings of the Evening,2008-01-01,0.0,98682.0,tt1006904,PG,99 min,Drama,Andrew P. Jones,"Andrew P. Jones, Robert Page Jones","Tyson Beckford, Lynn Whitfield, Glynn Turman, Linara Washington","Homer Hobbs, home after two years in jail, discovers that life on the outside can be crueler than the back-breaking injustice of the chain gang. He returns to a bleak urban town caught in ...",English,USA,8 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMjA3OTM1MTczN15BMl5BanBnXkFtZTcwMDY5MjQ5Mw@@._V1_SX300.jpg,6.0,234,01 Nov 2010,Indican Pictures,Tuesday,January,2008,0.098682
26163,The Decline And Fall Of America,2008-01-01,7500.0,1200.0,tt1786696,,120 min,Documentary,B.A. Brooks,,"Michael Badnarik, Douglas Bickford, Jack Cafferty, Ben Carter",A shocking movie that will change the way you look at our leadership within America's government and military today.,English,USA,,https://m.media-amazon.com/images/M/MV5BMTMzNjM1ODA0NV5BMl5BanBnXkFtZTcwMTQ5OTIyNA@@._V1_SX300.jpg,5.2,13,,,Tuesday,January,2008,0.0012
13971,Wild Child,2008-01-01,20000000.0,21972336.0,tt1024255,PG-13,124 min,"Comedy, Drama, Romance",Nick Moore,Lucy Dahl,"Emma Roberts, Lexi Ainsworth, Shelby Young, Johnny Pacar",A rebellious Malibu princess is shipped off to a strict English boarding school by her father.,English,"USA, UK, France",,https://m.media-amazon.com/images/M/MV5BNzUzYTM2YjgtN2I5OC00MmIwLWJhOTgtNjc1ZmFmYzI3MTUwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,6.1,"46,716",17 Nov 2009,Universal Pictures,Tuesday,January,2008,21.972336
6933,One Missed Call,2008-01-04,27.0,26.0,tt0479968,PG-13,87 min,"Horror, Mystery",Eric Valette,"Andrew Klavan (screenplay), Yasushi Akimoto (novel), Minako Daira (screenplay Chakushin ari)","Shannyn Sossamon, Edward Burns, Ana Claudia Talancón, Ray Wise","Several people start receiving voice-mails from their future selves - messages which include the date, time, and some of the details of their deaths.",English,"USA, Japan, Germany, UK",2 nominations.,https://m.media-amazon.com/images/M/MV5BMjA2NTk0OTcyMV5BMl5BanBnXkFtZTcwMzk1MDU1MQ@@._V1_SX300.jpg,4.0,"30,026",22 Apr 2008,Warner Bros. Pictures,Friday,January,2008,2.6e-05
14423,First Sunday,2008-01-11,0.0,38804615.0,tt0486578,PG-13,96 min,"Comedy, Crime, Drama",David E. Talbert,David E. Talbert,"Ice Cube, Katt Williams, Tracy Morgan, Loretta Devine",Durell Washington and LeeJohn Jackson are best friends and bumbling petty criminals. When Durell learns that his ex-girlfriend plans to move to another state with their son Durell Jr.--...,English,USA,,https://m.media-amazon.com/images/M/MV5BMjE4MTYzMTMxMl5BMl5BanBnXkFtZTYwNzc0Nzc4._V1_SX300.jpg,4.5,"9,203",13 May 2008,,Friday,January,2008,38.804615
7191,Cloverfield,2008-01-15,25000000.0,170764026.0,tt1060277,PG-13,85 min,"Horror, Sci-Fi, Thriller",Matt Reeves,Drew Goddard,"Lizzy Caplan, Jessica Lucas, T.J. Miller, Michael Stahl-David",A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.,"English, Russian",USA,5 wins & 30 nominations.,https://m.media-amazon.com/images/M/MV5BZDNhNDJlNDktZDI4OC00OTE3LWI2M2UtOThkNTFkNjBjYzRmXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,7.0,"358,331",22 Apr 2008,Paramount,Tuesday,January,2008,170.764026
18176,Assassination of a High School President,2008-01-17,11500000.0,69564.0,tt1018818,R,93 min,"Comedy, Crime, Mystery",Brett Simon,"Kevin Jakubowski, Tim Calpin","Mischa Barton, Reece Thompson, Bruce Willis, Michael Rapaport","At a Catholic high school, a sophomore newspaper reporter investigates a case of stolen SAT exams. He thinks he's nailed the suspect and managed to get the popular girl when he realises a larger conspiracy is afoot.",English,USA,,https://m.media-amazon.com/images/M/MV5BNDZiYzBjZTctMzI3Yi00YmVmLTgzNmYtYWEwMjc3ZTg2OGNlL2ltYWdlXkEyXkFqcGdeQXVyMjMxNTM3ODY@._V1_SX300.jpg,6.2,"15,181",06 Oct 2009,Yari Film Group,Thursday,January,2008,0.069564
13121,Teeth,2008-01-18,2000000.0,2340110.0,tt0780622,R,94 min,"Comedy, Fantasy, Horror, Thriller",Mitchell Lichtenstein,Mitchell Lichtenstein,"Jess Weixler, John Hensley, Josh Pais, Hale Appleman","Still a stranger to her own body, a high school student discovers she has a physical advantage when she becomes the object of male violence.",English,USA,2 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BZjVjMjY4MzMtYzljNi00NDQ5LTk3NTYtNzY5NzYyY2FjZTZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5.4,"39,939",06 May 2008,Roadside Attractions,Friday,January,2008,2.34011
16279,The Great Buck Howard,2008-01-18,0.0,900689.0,tt0460810,PG,90 min,"Comedy, Drama",Sean McGinly,Sean McGinly,"John Malkovich, Colin Hanks, Emily Blunt, Ricky Jay","A young man, much to the chagrin of his father, becomes the new assistant to an illusionist in decline.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BNDE2Njc3MjI5NV5BMl5BanBnXkFtZTcwODAxOTQzMg@@._V1_SX300.jpg,6.4,"13,137",21 Jul 2009,Magnolia,Friday,January,2008,0.900689
6687,Transsiberian,2008-01-18,15000000.0,5926410.0,tt0800241,R,111 min,"Crime, Drama, Mystery, Thriller",Brad Anderson,"Brad Anderson, Will Conroy","Woody Harrelson, Emily Mortimer, Ben Kingsley, Kate Mara",A Transsiberian train journey from China to Moscow becomes a thrilling chase of deception and murder when an American couple encounters a mysterious pair of fellow travelers.,"English, Russian, Spanish, Mandarin, French","UK, Germany, Spain, Lithuania",2 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BMTI1MDU0NTI2Ml5BMl5BanBnXkFtZTcwNTkyNjY3MQ@@._V1_SX300.jpg,6.7,"48,581",04 Nov 2008,First Look,Friday,January,2008,5.92641
