TMDB ID,Title,Release Date,Budget,Revenue,IMDB ID,Rating,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDB Rating,IMDB Votes,DVD Release Date,Production,Day of Release,Month of Release,Year of Release,Revenue (Millions),Runtime (Min),Primary Genre
13971,Wild Child,2008-01-01,20000000.0,21972336.0,tt1024255,PG-13,124 min,"Comedy, Drama, Romance",Nick Moore,Lucy Dahl,"Emma Roberts, Lexi Ainsworth, Shelby Young, Johnny Pacar",A rebellious Malibu princess is shipped off to a strict English boarding school by her father.,English,"USA, UK, France",,https://m.media-amazon.com/images/M/MV5BNzUzYTM2YjgtN2I5OC00MmIwLWJhOTgtNjc1ZmFmYzI3MTUwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,6.1,"46,716",17 Nov 2009,Universal Pictures,Tuesday,January,2008,21.972336,124,Comedy
14423,First Sunday,2008-01-11,0.0,38804615.0,tt0486578,PG-13,96 min,"Comedy, Crime, Drama",David E. Talbert,David E. Talbert,"Ice Cube, Katt Williams, Tracy Morgan, Loretta Devine",Durell Washington and LeeJohn Jackson are best friends and bumbling petty criminals. When Durell learns that his ex-girlfriend plans to move to another state with their son Durell Jr.--...,English,USA,,https://m.media-amazon.com/images/M/MV5BMjE4MTYzMTMxMl5BMl5BanBnXkFtZTYwNzc0Nzc4._V1_SX300.jpg,4.5,"9,203",13 May 2008,,Friday,January,2008,38.80461500000001,96,Comedy
7191,Cloverfield,2008-01-15,25000000.0,170764026.0,tt1060277,PG-13,85 min,"Horror, Sci-Fi, Thriller",Matt Reeves,Drew Goddard,"Lizzy Caplan, Jessica Lucas, T.J. Miller, Michael Stahl-David",A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.,"English, Russian",USA,5 wins & 30 nominations.,https://m.media-amazon.com/images/M/MV5BZDNhNDJlNDktZDI4OC00OTE3LWI2M2UtOThkNTFkNjBjYzRmXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,7.0,"358,331",22 Apr 2008,Paramount,Tuesday,January,2008,170.764026,85,Horror
13121,Teeth,2008-01-18,2000000.0,2340110.0,tt0780622,R,94 min,"Comedy, Fantasy, Horror, Thriller",Mitchell Lichtenstein,Mitchell Lichtenstein,"Jess Weixler, John Hensley, Josh Pais, Hale Appleman","Still a stranger to her own body, a high school student discovers she has a physical advantage when she becomes the object of male violence.",English,USA,2 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BZjVjMjY4MzMtYzljNi00NDQ5LTk3NTYtNzY5NzYyY2FjZTZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5.4,"39,939",06 May 2008,Roadside Attractions,Friday,January,2008,2.34011,94,Comedy
6687,Transsiberian,2008-01-18,15000000.0,5926410.0,tt0800241,R,111 min,"Crime, Drama, Mystery, Thriller",Brad Anderson,"Brad Anderson, Will Conroy","Woody Harrelson, Emily Mortimer, Ben Kingsley, Kate Mara",A Transsiberian train journey from China to Moscow becomes a thrilling chase of deception and murder when an American couple encounters a mysterious pair of fellow travelers.,"English, Russian, Spanish, Mandarin, French","UK, Germany, Spain, Lithuania",2 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BMTI1MDU0NTI2Ml5BMl5BanBnXkFtZTcwNTkyNjY3MQ@@._V1_SX300.jpg,6.7,"48,581",04 Nov 2008,First Look,Friday,January,2008,5.92641,111,Crime
13090,Sunshine Cleaning,2008-01-18,5000000.0,16174377.0,tt0862846,R,91 min,"Comedy, Drama",Christine Jeffs,Megan Holley,"Amy Adams, Emily Blunt, Alan Arkin, Jason Spevack","In order to raise the tuition to send her young son to private school, a mom starts an unusual business -- a biohazard removal/crime scene clean-up service -- with her unreliable sister.","English, Spanish",USA,2 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMTU4MzUzMTg4M15BMl5BanBnXkFtZTcwNDY2MjUyMg@@._V1_SX300.jpg,6.8,"67,956",25 Aug 2009,Overture Films,Friday,January,2008,16.174377,91,Comedy
6557,27 Dresses,2008-01-18,30000000.0,160259319.0,tt0988595,PG-13,111 min,"Comedy, Romance",Anne Fletcher,Aline Brosh McKenna,"Brian Kerwin, Charli Barcena, Peyton List, Jane Pfitsch","After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with.",English,USA,5 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMzI5OTM0OTg2MF5BMl5BanBnXkFtZTcwNjAyMTU1MQ@@._V1_SX300.jpg,6.1,"148,001",29 Apr 2008,20th Century Fox,Friday,January,2008,160.259319,111,Comedy
4953,Be Kind Rewind,2008-01-20,20000000.0,30600000.0,tt0799934,PG-13,102 min,Comedy,Michel Gondry,Michel Gondry,"Jack Black, Yasiin Bey, Danny Glover, Mia Farrow","Two bumbling store clerks inadvertently erase the footage from all of the tapes in their video rental store. In order to keep the business running, they re-shoot every film in the store with their own camera, with a budget of zero dollars.",English,"UK, France, USA",4 nominations.,https://m.media-amazon.com/images/M/MV5BMTU4MjY2MTU2MV5BMl5BanBnXkFtZTYwNjUzODc4._V1_SX300.jpg,6.4,"86,693",10 Jun 2008,New Line Cinema,Sunday,January,2008,30.6,102,Comedy
8090,Untraceable,2008-01-22,35000000.0,52659594.0,tt0880578,R,101 min,"Crime, Mystery, Thriller",Gregory Hoblit,"Robert Fyvolent (screenplay), Mark Brinker (screenplay), Allison Burnett (screenplay), Robert Fyvolent (story), Mark Brinker (story)","Diane Lane, Billy Burke, Colin Hanks, Joseph Cross","FBI agent Jennifer Marsh is tasked with hunting down a seemingly untraceable serial killer who posts live videos of his victims on the Internet. As time runs out, the cat and mouse chase becomes more personal.",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTYyNTcwODYzMF5BMl5BanBnXkFtZTcwNjMwMzU1MQ@@._V1_SX300.jpg,6.2,"45,783",13 May 2008,Sony/Screen Gems,Tuesday,January,2008,52.65959399999999,101,Crime
7278,Meet the Spartans,2008-01-24,30000000.0,84646831.0,tt1073498,PG-13,86 min,Comedy,"Jason Friedberg, Aaron Seltzer","Jason Friedberg, Aaron Seltzer","Sean Maguire, Carmen Electra, Ken Davitian, Kevin Sorbo","A spoof of 300 (2006) and many other movies, TV series/shows/commercials, video games and celebrities. King Leonidas of Sparta and his army of 12 go to war against Xerxes of Persia to fight to the death for Sparta's freedom.",English,USA,6 nominations.,https://m.media-amazon.com/images/M/MV5BMjAxMDE3NDQwMF5BMl5BanBnXkFtZTcwMjA0MzU1MQ@@._V1_SX300.jpg,2.8,"98,742",03 Jun 2008,20th Century Fox,Thursday,January,2008,84.646831,86,Comedy
