,TMDB ID,Title,Release Date,IMDB ID,Rating,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDB Rating,IMDB Votes,Metascore,Rating Dictionary,Type,DVD Release Date,Box Office,Production
0,522627,The Gentlemen,2020-01-24,tt8367814,R,113 min,"Action, Crime",Guy Ritchie,"Guy Ritchie (screenplay by), Guy Ritchie (story by), Ivan Atkinson (story by), Marn Davies (story by)","Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong",A British drug lord tries to sell off his highly profitable empire to a dynasty of Oklahoma billionaires.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTlkMmVmYjktYTc2NC00ZGZjLWEyOWUtMjc2MDMwMjQwOTA5XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_SX300.jpg,8.1,"9,210",,,movie,N/A,N/A,N/A
1,448119,Dolittle,2020-01-17,tt6673612,PG,101 min,"Action, Adventure, Comedy, Family, Fantasy",Stephen Gaghan,"Stephen Gaghan (screenplay by), Dan Gregor (screenplay by), Hugh Lofting (character created by), Doug Mand (screenplay by), Chris McKay (screenplay by), Thomas Shepherd (screen story by)","Robert Downey Jr., Antonio Banderas, Michael Sheen, Jim Broadbent",A physician discovers that he can talk to animals.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMDNkODA5ZGQtODczOS00OTQxLThhMTItMjk0ZmNhMDM0YjNmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,5.6,"4,762",,,movie,N/A,N/A,Universal Pictures
2,637272,Teacher Shortage,2020-01-01,tt8555778,N/A,N/A,Horror,Troy Escamilla,Troy Escamilla,"Brinke Stevens, Debra Lamb, Tamara Glynn, Julie Anne Prescott",What is supposed to be an educational and collaborative weekend professional development session for the English Department of Prescott High School instead turns into a blood soaked nightmare when a masked killer targets them.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzMwNWQzNzEtM2Y1MS00OGJkLTg5ZmYtYjdhM2RjZWYwZjQwXkEyXkFqcGdeQXVyMDQwNTM5NQ@@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
3,581418,Afterward,2020-01-01,tt1381523,PG-13,9 min,"Short, Crime, Drama",Kristopher Dolphin,Kristopher Dolphin,"Brett Newton, Braxton Davis, Jeff Koven, Matthew Monahan","Fear can drive us all to do things that are out of our character, which is what happens to our main character, Jimmy. At the same time, he puts himself in a very dangerous and ominous ...",English,USA,N/A,N/A,8.6,14,,,movie,N/A,N/A,N/A
4,634639,Beauty Juice,2019-12-31,tt10648656,N/A,N/A,"Short, Horror",Natasha Halevi,Natasha Halevi,"Jennifer Holland, Krista Allen, Lola Blanc, Parker Love Bowling","An innocent and impressionable girl, Sarah, gets an invitation to a secret beauty shop only to find it's not what she expects.",English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNDI4ZWNjM2YtZWY5NS00ZGZmLWIyMzYtNmUwM2Q0NzgxOWY0XkEyXkFqcGdeQXVyNTE2MDQ3MjY@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
6,627953,The Observer,2019-12-31,tt10307736,N/A,N/A,Documentary,Rita Andreetti,N/A,Jie Hu,"Widely recognized as the first artist to unflinchingly document and represent the erased years of the Great Famine and the Cultural Revolution, HU Jie is one of China's most essential ...",Chinese,China,N/A,https://m.media-amazon.com/images/M/MV5BN2VmMDZmZWQtYTkyMi00MzhkLWI3ZTgtMGExZTk1YjdlNTRjXkEyXkFqcGdeQXVyMjcwMDg3NzI@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
8,591830,Sequestrada,2019-12-31,tt5816566,Not Rated,92 min,Drama,"Sabrina McCormick(co-director), Soopum Sohn(co-director)","Sabrina McCormick, Soopum Sohn","Sam Lilja, Gretchen Mol, Tim Blake Nelson, Marcelo Olinto","When Belo Monte dam displaces an indigenous girl, she must rely on a white man to save her people - although he is the key to their destruction.","Portuguese, English","USA, Brazil",N/A,https://m.media-amazon.com/images/M/MV5BM2Q3YzI0NTgtZWM2NC00Nzk0LTgwZWUtOWZhMGJkMTU1MWE4XkEyXkFqcGdeQXVyNDQ3OTcxMDc@._V1_SX300.jpg,7.2,5,,,movie,N/A,N/A,N/A
9,545635,Garrison 7: The Fallen,2019-12-31,tt4533698,N/A,N/A,"Action, Adventure, Drama",Scott Brewer,Scott Brewer,"Casper Van Dien, Mark Dacascos, Marjean Holden, Hector Luis Bustamante","When an elite special forces commander accidentally uncovers an insidious military conspiracy, his family is brutally murdered. Now the target of an intergalactic manhunt, they will stop at nothing to silence him.",English,Australia,N/A,https://m.media-amazon.com/images/M/MV5BMjE5Njg5ODA4MF5BMl5BanBnXkFtZTgwNjIzNzA2OTE@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
10,324515,Blackbird,2019-12-31,tt2077721,Not Rated,103 min,Drama,Jason Buxton,"Noel S. Baker (story editor), Amnon Buchbinder (story editor), Jason Buxton, Gillian Everill (story editor), Michael Melski (story editor)","Connor Jessup, Alexia Fast, Michael Buie, Alex Ozerov",An alienated teenager's posturing online threat ignites a firestorm of fear in a small community.,English,Canada,8 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMTAyMDAzMjY5NzheQTJeQWpwZ15BbWU4MDQ0NTQ4NDMx._V1_SX300.jpg,7.1,"1,485",,,movie,06 Oct 2014,N/A,Blackbird Pictures
12,565307,Clemency,2019-12-27,tt5577494,R,113 min,Drama,Chinonye Chukwu,Chinonye Chukwu,"Aldis Hodge, Alfre Woodard, Wendell Pierce, Michael O'Neill","Years of carrying out death row executions have taken a toll on prison warden Bernadine Williams. As she prepares to execute another inmate, Bernadine must confront the psychological and ...",English,USA,4 wins & 20 nominations.,https://m.media-amazon.com/images/M/MV5BOGM2ZDE4NjMtYjY5MC00MDcwLTllZDYtN2YyNDgxOWE5MjI3XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,6.5,542,,,movie,N/A,N/A,NEON
