,TMDB ID,Title,Release Date,Budget,Revenue,IMDB ID,Rating,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDB Rating,IMDB Votes,Metascore,Rating Dictionary,Type,DVD Release Date,Box Office,Production
0,433351,Sahara Mosaic,2009-01-01,0,0,,,,,,,,,,,,,,,,,,,,
1,423950,Circus Savage,2009-01-01,0,0,tt2189804,N/A,N/A,Documentary,Larry Jordan,N/A,N/A,N/A,N/A,USA,N/A,N/A,N/A,N/A,,,movie,N/A,,N/A
2,408148,Perception,2009-01-01,30000,0,tt1714204,TV-14,42 min,"Crime, Drama, Mystery, Thriller",N/A,"Kenneth Biller, Michael Sussman","Eric McCormack, Rachael Leigh Cook, Kelly Rowan, Arjay Smith",Dr. Daniel Pierce is an eccentric neuropsychiatrist who uses his unique outlook to help the federal government solve complex criminal cases.,English,USA,2 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BNTM1OGVkOGMtZGYwMC00MGVjLWIxODItYTkxZWE2ZGJiYWRkXkEyXkFqcGdeQXVyMTk3NDAwMzI@._V1_SX300.jpg,7.5,"18,057",,,series,,,
3,315702,Thomas & Friends: Holiday Express,2009-01-01,0,0,tt3284682,N/A,47 min,N/A,N/A,N/A,Michael Brandon,A Holiday Special with Trainloads of Fun!,English,UK,N/A,https://m.media-amazon.com/images/M/MV5BMTgwMDE3NTU3OF5BMl5BanBnXkFtZTgwMDk0ODA2MDE@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,,N/A
4,275721,The Proper Care & Feeding of an American Messiah,2009-01-01,0,0,tt0762127,NOT RATED,95 min,Comedy,Christopher J. Hansen,"Christopher J. Hansen, D.M. Lovic","Dustin Olson, Joseph Frost, Ellen Halper, Tony Hale","'The Proper Care & Feeding of an American Messiah' is the mockumentary story of a man who thinks he is a messiah. Not *the* messiah, but rather a local, regionally selected messiah for his ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTIwODIwNzExNl5BMl5BanBnXkFtZTcwNjc5MTczMQ@@._V1_SX300.jpg,7.4,44,,,movie,14 Jun 2016,,Focus Features
5,138810,Lady Day - The Many Faces of Billie Holiday,2009-01-01,0,0,tt1459922,N/A,59 min,Documentary,Matthew Seig,Robert O'Meally,"David Langston Smyrl, Billie Holiday, Ruby Dee, Buck Clayton",N/A,English,"USA, Germany, Japan",1 win.,https://m.media-amazon.com/images/M/MV5BOTJkYTY2N2MtM2IzYS00MTRhLTg5ZGMtYWM0ZjU0YzU4OTVlXkEyXkFqcGdeQXVyMTUyODI0MTI@._V1_SX300.jpg,7.8,18,,,movie,17 Nov 2009,,N/A
6,100876,Alicia Keys - Live in New York,2009-01-01,0,0,,,,,,,,,,,,,,,,,,,,
7,37040,Why We Laugh: Black Comedians on Black Comedy,2009-01-01,0,0,tt1124061,NOT RATED,95 min,"Documentary, Comedy",Robert Townsend,"John Long, Quincy Newell","Franklyn Ajaye, Angela Bassett, Bill Bellamy, Julian Bond","An off-screen narration, four dozen talking heads, and clips of performances tell a chronological story about Black comedy: who has made us laugh since 1901, what is the nature of their ...",N/A,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMjA5MjM5Njg3MV5BMl5BanBnXkFtZTcwMTI2NjQzMw@@._V1_SX300.jpg,7.0,249,,,movie,27 Apr 2010,,Rhino Films
8,34336,Living With The Pride: Lions Tour 2009,2009-01-01,0,0,,,,,,,,,,,,,,,,,,,,
9,27241,Rihanna - Rated R Launch Party,2009-01-01,0,0,,,,,,,,,,,,,,,,,,,,
